,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016
Decision Tree,0.8781512605042017,0.8818897637795275,0.8888888888888888,0.8853754940711462
Random Forest,0.9159663865546218,0.9344262295081968,0.9047619047619048,0.9193548387096774
SVM,0.8823529411764706,0.8656716417910447,0.9206349206349206,0.8923076923076924
